"common_name","Adult.Body.Mass.Kg"
"Common Ostrich",109.25
"Impala",52.5
"Hartebeest",159
"Domestic Cattle",618.64242
"Wildebeest",180.5
"Tsessebe",119
"Roan",233.5
"Sable",225
"Waterbuck",175.333
"Gemsbok",37.5
"Domestic Sheep",110
"Steenbok",11.33333
"Reedbuck",58
"Duiker",18.5
"Buffalo",646.33299
"Eland",291.25
"Kudu",206.05641
"Giraffe",800
"Hippopotamus",2640
"Warthog",91.249995
"Domestic Donkey",171.249245
"Zebra",280
"Black Rhinoceros",995.94054
"Elephant",4500
"Jackal",8.2473
"African wild dog",24.249995
"Lion",149.061965
"Leopard",53.074995
"Spotted Hyaena",63
"Cheetah",50.57792
